TimestepsMean,ReturnsStd,TimestepsStd,NormDeltaVar,Wins,RewardMean,OmegaBefore,ITERATIONS,ConfortViolation,Omega,ReturnsMean,RewardStd,NormDeltaOmega,DeltaOmega,Traj
106.912,747.257296220124,74.16889008202833,0.11942031423421128,34.8,9.914246903699535,0.21637824140291853,1806,0,0.23157780211069132,1059.9519649683243,0.7790863340400564,0.015199560707772786,0.015199560707772786,250
103.004,739.8939774319887,73.43761967820035,0.10799156342744796,32.800000000000004,9.908083103456972,0.23157780211069132,1807,0,0.23096702713227624,1020.572191988482,0.8054780108966746,0.0006107749784150796,-0.0006107749784150796,250
99.548,724.4115541496822,71.90232051888172,0.10584979428178877,30.4,9.901848586703652,0.23096702713227624,1808,0,0.2273547342581573,985.7092231091751,0.8334792697022048,0.003612292874118933,-0.003612292874118933,250
96.136,709.6765017623366,70.46041089860319,0.09843826643649241,27.200000000000003,9.893905747005538,0.2273547342581573,1809,0,0.239502731705944,951.1605228941245,0.8669494852043168,0.01214799744778669,0.01214799744778669,250
104.496,750.9381504952934,74.53242236771861,0.11393745568059557,34.4,9.911046998702925,0.239502731705944,1810,0,0.23529669442719786,1035.6647671764608,0.7902829509628951,0.004206037278746133,-0.004206037278746133,250
110.524,764.7873758404551,75.91343375187293,0.11695814321767477,37.6,9.919598475351284,0.23529669442719786,1811,0,0.25420525419591167,1096.3537018897257,0.7499177213391423,0.018908559768713806,0.018908559768713806,250
116.348,787.1287382500755,78.10425658054751,0.09982523826770853,44.4,9.930621110557603,0.25420525419591167,1812,0,0.26092293880594297,1155.407904971156,0.6904444070666879,0.006717684610031305,0.006717684610031305,250
121.392,779.0161246971874,77.30996272150182,0.10303031604935886,45.6,9.934251464648804,0.26092293880594297,1813,0,0.2742070173147173,1205.9386537966477,0.668785851157988,0.013284078508774333,0.013284078508774333,250
117.892,781.4237489136468,77.52450152048705,0.1129316147025865,45.6,9.931963677901534,0.2742070173147173,1814,0,0.2690974718773729,1170.8990619151675,0.6785212236891351,0.0051095454373444316,-0.0051095454373444316,250
124.372,789.0021687706711,78.28998413590337,0.11816518423505021,49.2,9.939466359021026,0.2690974718773729,1815,0,0.24358864007392142,1236.1913100041631,0.6387215600702209,0.025508831803451454,-0.025508831803451454,250
