RewardMean,Omega,ITERATIONS,ReturnsMean,TimestepsMean,ReturnsStd,Wins,RewardStd,TimestepsStd,OmegaBefore,ConfortViolation,Theta,DeltaOmega,NormDeltaOmega,NormDeltaVar,Traj
2.8084,0.9948409383321348,140,1404.2,500.0,68.49204333351429,0.0,2.8708342759553362,0.0,0.9947816895568904,0,0.037597600768885804,5.924877524443595e-05,5.924877524443595e-05,0.12197722682121537,20
2.8958,0.994890509768224,141,1447.9,500.0,69.98992784679807,0.0,2.9371316552037636,0.0,0.9948409383321348,0,0.03714776640805586,4.957143608919079e-05,4.957143608919079e-05,0.1786270263094849,20
2.8876,0.9949510480607718,142,1443.8,500.0,90.57792225481882,0.0,2.9235879052971883,0.0,0.994890509768224,0,0.03699842964188428,6.053829254781817e-05,6.053829254781817e-05,0.05976089163430487,20
2.8428,0.9949915664045067,143,1421.4,500.0,82.06607094286895,0.0,2.899532403681669,0.0,0.9949510480607718,0,0.03678165956035895,4.0518343734863294e-05,4.0518343734863294e-05,0.08716004627925855,20
2.8268,0.9950447549349778,144,1413.4,500.0,88.57110138188415,0.0,2.880902941787522,0.0,0.9949915664045067,0,0.03636660561721724,5.318853047109329e-05,5.318853047109329e-05,0.16827463498259476,20
2.9192,0.9950285096838267,145,1459.6,500.0,94.4703127971957,0.0,2.936642872396983,0.0,0.9950447549349778,0,0.035872193779277466,-1.6245251151070228e-05,1.6245251151070228e-05,0.2028773643341566,20
2.8858,0.9950188559860046,146,1442.9,500.0,75.14911842463623,0.0,2.918999547790304,0.0,0.9950285096838267,0,0.03542397454296253,-9.653697822131768e-06,9.653697822131768e-06,0.1862628428550508,20
2.8326,0.9950393296907645,147,1416.3,500.0,83.38650970031064,0.0,2.8836049035885623,0.0,0.9950188559860046,0,0.03525293152391752,2.0473704759882416e-05,2.0473704759882416e-05,0.07167795897117912,20
2.8566,0.9950411243158432,148,1428.3,500.0,63.13564761685747,0.0,2.909748518343123,0.0,0.9950393296907645,0,0.034820696319150066,1.7946250787659324e-06,1.7946250787659324e-06,0.18263838580262615,20
2.883,0.9950709293123692,149,1441.5,500.0,83.80900906227205,0.0,2.9224494863042545,0.0,0.9950411243158432,0,0.03397649779095203,2.9804996525939487e-05,2.9804996525939487e-05,0.3631022855062014,20
2.8938,0.9951284744272136,150,1446.9,500.0,84.49491108936681,0.0,2.9261444872049633,0.0,0.9950709293123692,0,0.03338224742671525,5.7545114844459455e-05,5.7545114844459455e-05,0.2608537365964594,20
2.8392,0.9951878421996672,151,1419.6,500.0,73.46454927378238,0.0,2.890491888935169,0.0,0.9951284744272136,0,0.03280297089479037,5.936777245352243e-05,5.936777245352243e-05,0.25863227958427615,20
