ITERATIONS,ReturnsMean,NormDeltaOmega,TimestepsStd,NormDeltaVar,TimestepsMean,DeltaOmega,Wins,OmegaBefore,Omega,RewardMean,ReturnsStd,Traj,ConfortViolation,RewardStd
579,-77.99427059214057,0.013298978645490678,0.4999839997439918,0.004068968382541423,5.496,0.013298978645490678,0.0,23.341782398148702,23.355081376794192,-14.191097269312332,8.659927063377538,250,0,6.696869589799081
580,-78.14106038980322,0.0069331035365465254,0.4999839997439918,0.004166379811297357,5.496,0.0069331035365465254,0.0,23.355081376794192,23.36201448033074,-14.217805747780789,8.690610916754546,250,0,6.709218738825826
581,-78.54294347810027,0.006199336798406563,0.499743934430424,0.004260969328140443,5.516,0.006199336798406563,0.0,23.36201448033074,23.368213817129146,-14.23911230567445,8.70796930919763,250,0,6.704629225525614
582,-78.31795537769483,0.003419787737886537,0.5,0.004349762708768116,5.5,0.003419787737886537,0.0,23.368213817129146,23.371633604867032,-14.23962825048997,8.679833117860426,250,0,6.716761915899096
583,-79.14385058519734,0.009467180211437665,0.4980602373207481,0.004437677286668281,5.544,0.009467180211437665,0.0,23.371633604867032,23.38110078507847,-14.275586324891297,8.639396230359853,250,0,6.701033367750829
584,-78.81657612038268,0.002436298475668508,0.49959983987187184,0.004528665056851831,5.52,0.002436298475668508,0.0,23.38110078507847,23.38353708355414,-14.278365239199761,8.685184268959356,250,0,6.719977870151564
585,-78.31776417451019,0.013615141351202453,0.49985597925802594,0.00460386831957416,5.488,-0.013615141351202453,0.0,23.38353708355414,23.369921942202936,-14.27072962363524,8.74214992722931,250,0,6.740335978175589
586,-78.14050362703041,0.018043763321824002,0.4998559792580259,0.004681936640219331,5.488,-0.018043763321824002,0.0,23.369921942202936,23.351878178881112,-14.238429961193589,8.695340397590327,250,0,6.724887364805831
587,-78.7514019782452,0.0262286355605994,0.49897494927100305,0.004767715153429654,5.532,-0.0262286355605994,0.0,23.351878178881112,23.325649543320512,-14.235611348200505,8.68966395284591,250,0,6.690904485579452
588,-79.10464761262904,0.03176093685471315,0.495354418573207,0.004861080277020603,5.568,-0.03176093685471315,0.0,23.325649543320512,23.2938886064658,-14.207012861463545,8.559720182185542,250,0,6.6514989499355135
589,-77.28852588173568,0.03150343964011881,0.499743934430424,0.004927903111174206,5.484,-0.03150343964011881,0.0,23.2938886064658,23.26238516682568,-14.093458402942318,8.636476501246255,250,0,6.659752831380984
590,-77.44687958031469,0.032679370824077125,0.4998559792580259,0.004984822428074471,5.512,-0.032679370824077125,0.0,23.26238516682568,23.229705796001603,-14.050594989171755,8.568595066585772,250,0,6.618830501961337
591,-77.25915982966256,0.03721662570014317,0.49959983987187184,0.005059508567092788,5.52,-0.03721662570014317,0.0,23.229705796001603,23.19248917030146,-13.996224606822928,8.516390976510898,250,0,6.587357790913151
592,-76.47235715870004,0.016706000990549086,0.5,0.005115944897249562,5.5,-0.016706000990549086,0.0,23.19248917030146,23.17578316931091,-13.904064937945458,8.437917051589038,250,0,6.558782796628603
593,-75.82170745301549,0.02150766769036494,0.49897494927100305,0.0051692951435436405,5.468,-0.02150766769036494,0.0,23.17578316931091,23.154275501620546,-13.866442474947968,8.463379240414946,250,0,6.564117295556124
594,-77.38108828379723,0.01055752060910109,0.49419024676737605,0.00524207439536277,5.576,-0.01055752060910109,0.0,23.154275501620546,23.143717981011445,-13.87752659322045,8.345093133721422,250,0,6.491832997899964
595,-76.23625217166098,0.0023848034701572374,0.499743934430424,0.005307134177982797,5.516,-0.0023848034701572374,0.0,23.143717981011445,23.141333177541288,-13.82093041545703,8.446192655038159,250,0,6.507847684140044
596,-76.65869925642461,0.004995786464753849,0.4983974317750845,0.005370191082111542,5.54,-0.004995786464753849,0.0,23.141333177541288,23.136337391076534,-13.837310335094694,8.432862188650011,250,0,6.498408329269823
597,-76.33174808625162,0.004431537100010985,0.4994236678412428,0.00543109611085359,5.524,0.004431537100010985,0.0,23.136337391076534,23.140768928176545,-13.818202043130272,8.42058942822495,250,0,6.501067053927797
598,-76.19841634232107,0.012421612656229541,0.49985597925802594,0.005501975687179097,5.512,-0.012421612656229541,0.0,23.140768928176545,23.128347315520315,-13.824095853106146,8.462790731390045,250,0,6.512336333432127
599,-76.46553649681717,0.002266119836502156,0.49839743177508444,0.005568906548924024,5.54,0.002266119836502156,0.0,23.128347315520315,23.130613435356818,-13.802443410977828,8.4237852120836,250,0,6.482249338713172
600,-76.57363196962353,0.026187166547412488,0.4987023160162784,0.005636529806588869,5.536,-0.026187166547412488,0.0,23.130613435356818,23.104426268809405,-13.831942191044712,8.442781535897192,250,0,6.498771815933262
601,-75.92533400367475,0.023453077695990032,0.49959983987187184,0.005701907753613367,5.52,-0.023453077695990032,0.0,23.104426268809405,23.080973191113415,-13.754589493419337,8.337581154250243,250,0,6.473797643100368
602,-75.60710653582343,0.0235747522343992,0.499743934430424,0.005772754650650352,5.516,-0.0235747522343992,0.0,23.080973191113415,23.057398438879016,-13.706872105841814,8.345952801064998,250,0,6.454462882933411
603,-76.30355435730574,0.03422826292258918,0.49478884385159694,0.005850520278209764,5.572,-0.03422826292258918,0.0,23.057398438879016,23.023170175956427,-13.694105232825871,8.236225266168455,250,0,6.408742151390713
604,-74.92408766925422,0.02252786092574155,0.4998559792580259,0.005915557055953798,5.512,-0.02252786092574155,0.0,23.023170175956427,23.000642315030685,-13.592904148993872,8.282051151614118,250,0,6.403287053344039
605,-75.61234602526544,0.006934451095141014,0.495354418573207,0.0059877330614327585,5.568,-0.006934451095141014,0.0,23.000642315030685,22.993707863935544,-13.579803524652556,8.120949309723164,250,0,6.358066513726897
606,-75.01119259703394,0.0025443088248380263,0.49897494927100305,0.006045279043648558,5.532,-0.0025443088248380263,0.0,22.993707863935544,22.991163555110706,-13.559506977048795,8.215257677053893,250,0,6.374000032453778
607,-75.3793754591171,0.0004758400405258101,0.49638694583963433,0.006124833809391008,5.56,0.0004758400405258101,0.0,22.991163555110706,22.991639395151232,-13.55744162933761,8.1442951064827,250,0,6.353068739914293
608,-74.3043319584243,0.010064571727127714,0.4999839997439918,0.0061920585922562435,5.496,0.010064571727127714,0.0,22.991639395151232,23.00170396687836,-13.519711055026258,8.275159605797214,250,0,6.380217837915336
609,-75.7179798453605,0.022692258916794827,0.49419024676737605,0.006282045276215281,5.576,0.022692258916794827,0.0,23.00170396687836,23.024396225795154,-13.579264678149304,8.134317804370376,250,0,6.3521753244182015
610,-74.94077103420203,0.009089767650632297,0.49993599590347565,0.006356293932516533,5.508,0.009089767650632297,0.0,23.024396225795154,23.033485993445787,-13.605804472440457,8.241878501521818,250,0,6.412370089065921
611,-74.9037237002979,0.007109978387749294,0.5,0.0064292993740640335,5.5,0.007109978387749294,0.0,23.033485993445787,23.040595971833536,-13.618858854599617,8.24458029930683,250,0,6.42433780145637
612,-75.03185663713272,0.004129737053155225,0.4999839997439918,0.006503108004176474,5.504,-0.004129737053155225,0.0,23.040595971833536,23.03646623478038,-13.632241394827892,8.326044866109823,250,0,6.427590278885894
613,-75.54718715769631,0.012066830640211634,0.4983974317750845,0.006586278237031695,5.54,-0.012066830640211634,0.0,23.03646623478038,23.02439940414017,-13.636676382255652,8.293370809819113,250,0,6.404161804585188
614,-76.14137780759891,0.006076700902905685,0.49289349762397966,0.006688604564703638,5.584,-0.006076700902905685,0.0,23.02439940414017,23.018322703237263,-13.635633561532757,8.097652640475259,250,0,6.372997535311734
615,-75.87264666335315,0.009084322849780335,0.49478884385159694,0.00678736313619997,5.572,0.009084322849780335,0.0,23.018322703237263,23.027407026087044,-13.616770757960008,8.123487583125705,250,0,6.372585333242498
616,-76.5929940523599,0.011688107892531718,0.4881966816765555,0.0069002896553902494,5.608,0.011688107892531718,0.0,23.027407026087044,23.039095133979576,-13.65780921047787,8.06308365398206,250,0,6.3666555135487695
617,-75.94577154176565,0.027360864247803818,0.4958870839213299,0.00699898115747085,5.564,0.027360864247803818,0.0,23.039095133979576,23.06645599822738,-13.649491650209498,8.181595191822568,250,0,6.3932722301347065
618,-76.08657804757597,0.032994229018008525,0.4968541033341679,0.007112142024658902,5.556,0.032994229018008525,0.0,23.06645599822738,23.099450227245388,-13.694488489484518,8.286555956619893,250,0,6.420035593103305
619,-76.21295503637724,0.025101115481181324,0.4983974317750845,0.00720517329172825,5.54,0.025101115481181324,0.0,23.099450227245388,23.12455134272657,-13.756851089598781,8.414753045943929,250,0,6.460342613876575
620,-77.46849872628535,0.02728171870138496,0.5138093031466052,0.038710086420801156,5.6,0.02728171870138496,0.0,23.12455134272657,23.151833061427954,-13.83366048683667,8.603965129512513,250,0,6.454619640703043
621,-76.76254403982725,0.019859829213743296,0.4983974317750845,0.03430914492063515,5.54,0.019859829213743296,0.0,23.151833061427954,23.171692890641697,-13.856054880835243,8.3867456488011,250,0,6.507080499294865
622,-76.44456864778364,0.005038446827104082,0.49993599590347565,0.030360983103011885,5.508,0.005038446827104082,0.0,23.171692890641697,23.1767313374688,-13.878825099452365,8.423077453946817,250,0,6.540894015625367
623,-76.30989448193827,0.012730945733650856,0.5,0.02681906397921399,5.5,0.012730945733650856,0.0,23.1767313374688,23.189462283202452,-13.874526269443322,8.432298684930128,250,0,6.544841036316008
624,-76.28330516552798,0.00038248333215307184,0.49985597925802594,0.023628280149233467,5.488,-0.00038248333215307184,0.0,23.189462283202452,23.1890797998703,-13.900019162814864,8.48831246436415,250,0,6.565270632439817
625,-75.80959336887393,0.010277880807453954,0.49839743177508444,0.020769709294836763,5.46,-0.010277880807453954,0.0,23.1890797998703,23.178801919062845,-13.88454091005017,8.401536954185072,250,0,6.578499078718735
626,-76.69036090496746,0.003053045109815855,0.49959983987187184,0.018199817394072382,5.52,-0.003053045109815855,0.0,23.178801919062845,23.17574887395303,-13.893181323363667,8.389002726397344,250,0,6.539118327474953
627,-76.10576090100174,0.002439686383290507,0.49985597925802594,0.015894606380613557,5.488,-0.002439686383290507,0.0,23.17574887395303,23.17330918756974,-13.867667802660671,8.497050429321602,250,0,6.550180006394925
628,-76.61730919506115,0.005720736395179671,0.49959983987187184,0.01381048050182833,5.52,0.005720736395179671,0.0,23.17330918756974,23.17902992396492,-13.879947317945861,8.42053214725598,250,0,6.533063506487592
629,-77.09947605532815,0.012260063324692538,0.49839743177508444,0.0119338547859854,5.54,-0.012260063324692538,0.0,23.17902992396492,23.166769860640226,-13.916872934174757,8.439611036616245,250,0,6.5354746145429585
630,-76.76962672291637,0.008839948937989561,0.498974949271003,0.010245693995940788,5.532,-0.008839948937989561,0.0,23.166769860640226,23.157929911702237,-13.877372871098403,8.376911772570267,250,0,6.522942681224367
631,-76.8976397894861,0.017809250618356032,0.49806023732074817,0.00871978333506187,5.544,-0.017809250618356032,0.0,23.157929911702237,23.14012066108388,-13.870425647454203,8.364465342555231,250,0,6.511136224538455
632,-77.15759311123011,0.025884243894864767,0.495354418573207,0.007351825794023786,5.568,-0.025884243894864767,0.0,23.14012066108388,23.114236417189016,-13.857326348999665,8.395881925106675,250,0,6.488180800721595
633,-76.36223115152521,0.023993589579227148,0.49839743177508444,0.00613467512468168,5.54,-0.023993589579227148,0.0,23.114236417189016,23.09024282760979,-13.7837962367374,8.352059959628422,250,0,6.472791436331286
634,-74.85171213280132,0.01888558292155551,0.4987023160162784,0.005055357679605759,5.464,-0.01888558292155551,0.0,23.09024282760979,23.071357244688233,-13.699068838360416,8.30004334717116,250,0,6.487968776968329
635,-75.69684007537982,0.014862733260457617,0.4992153843783262,0.004075124831728994,5.528,-0.014862733260457617,0.0,23.071357244688233,23.056494511427776,-13.693350230712703,8.27963581489691,250,0,6.439460146630943
636,-76.22394089431286,0.02076193251452807,0.495354418573207,0.003221790537967967,5.568,-0.02076193251452807,0.0,23.056494511427776,23.035732578913247,-13.68964455716826,8.269609432250961,250,0,6.409274244312199
637,-74.8526840815864,0.0290413318613858,0.4999839997439918,0.0024961172562908813,5.496,-0.0290413318613858,0.0,23.035732578913247,23.00669124705186,-13.619484003199856,8.3279469376355,250,0,6.42703098952208
638,-74.97248714544365,0.019015288537126196,0.49942366784124287,0.0018976390480220815,5.524,-0.019015288537126196,0.0,23.00669124705186,22.987675958514735,-13.57213742676388,8.253063774769199,250,0,6.385164876875087
639,-74.86844038574232,0.008866377877360776,0.49897494927100305,0.0014807395546136768,5.532,-0.008866377877360776,0.0,22.987675958514735,22.978809580637375,-13.533702166620087,8.264493288141031,250,0,6.361612204327408
640,-74.35508392335635,0.0025188402004410193,0.4999839997439918,0.0013013320113344144,5.504,-0.0025188402004410193,0.0,22.978809580637375,22.976290740436934,-13.509281236074917,8.235342263064732,250,0,6.36985287855184
