Omega,D_KL_PQ_2,Eta,LossReg,NormDeltaVar,RewardStd,Epsilon,D_KL_P_HAT_Q,TimestepsStd,D_KL_PQ,ReturnsStd,TimestepsMean,ReturnsMean,ITERATIONS,OmegaBefore,DeltaOmega,RewardMean,DualReg,DualAfter,DualBefore
[5.21492453],0.6012682803009142,12.585949603391082,1e-07,0.5894506496020372,0.46669711319154467,1.0,0.04444490670123733,24.33390219426387,0.6012682803013405,233.8850498874039,182.802,1723.3352769220132,75,[5.24110271],[-0.02617819],9.427332725692354,0.0001,9.503421892480064,10.454831399785265
[5.19366579],0.7545168645362708,10.696471297086038,1e-07,0.06945315365355216,0.5214268892524159,1.0,0.037289227385237836,26.090991855427802,0.7545168645362708,250.55199482678705,177.988,1677.9200024053264,76,[5.21492453],[-0.02125874],9.42715240581009,0.0001,9.494663604962822,10.460679680474627
[5.16918054],0.6396006044018776,12.168560328093323,1e-07,0.2652376109204355,0.5245342721426001,1.0,0.02237634581142404,26.704801890296807,0.6396006044019629,256.4310901322616,177.334,1672.466439631987,77,[5.19366579],[-0.02448525],9.43116627173575,0.0001,9.50981764822009,10.46506660733019
[5.14254888],0.5470648051041707,13.129754137113368,1e-07,0.5531410187853149,0.4778790844991101,1.0,0.03432677370889018,24.905232462275876,0.5470648051048101,239.63127137445292,181.914,1717.5132240892146,78,[5.16918054],[-0.02663166],9.441347142546558,0.0001,9.522623777555594,10.468552449715304
[5.1127854],0.47078811136307763,13.829819027379234,1e-07,0.158424389554306,0.4429957708287436,1.0,0.038282926127974584,23.49407372083437,0.47078811136285026,226.44231924875703,184.65,1744.9766628785324,79,[5.14254888],[-0.02976347],9.450185014235217,0.0001,9.53437551022332,10.47478462353302
[5.08523004],0.4395597168362144,14.101634463723308,1e-07,0.13658864918101846,0.4221178160547162,1.0,0.04311810618410582,21.79782328582375,0.43955971683652706,210.25359470421813,187.57,1774.0507419404764,80,[5.1127854],[-0.02755537],9.45807294311711,0.0001,9.54224469332902,10.480761261110098
[5.05705491],0.4330330128600792,14.158457130331302,1e-07,0.05932267905651129,0.39476057266317893,1.0,0.038686316262420466,21.409214745057792,0.43303301286036344,206.81644940147524,188.282,1782.3180284760167,81,[5.08523004],[-0.02817513],9.466215721502941,0.0001,9.548420578304645,10.486669597506605
[5.0294963],0.4764614383835237,13.779935771014946,1e-07,0.08980396305365855,0.4168996467124635,1.0,0.039831295556784434,23.012333649588864,0.4764614383833248,222.17852114040423,186.55,1766.627198369611,82,[5.05705491],[-0.02755861],9.4699930226192,0.0001,9.550873986285954,10.491833389666061
[5.0038267],0.5591928089885698,13.016085921414785,1e-07,0.1406360579985181,0.45736998954128455,1.0,0.037495119174651,23.324845122744115,0.5591928089893656,225.331765952308,184.34,1746.0312682503989,83,[5.0294963],[-0.0256696],9.471798135241395,0.0001,9.549872880200772,10.497656372362579
[4.97722829],0.5653202816295391,12.949717272444705,1e-07,0.05419795076396739,0.4777088385999292,1.0,0.032756984031620674,24.310925527424907,0.5653202816296812,234.83475600353887,182.53,1729.4650224882323,84,[5.0038267],[-0.02659841],9.47496314298051,0.0001,9.554658394985633,10.502772979095543
